ad,sehir,ulke,hikaye,puan,resim_url
Poveglia Adası,Venedik,İtalya,"""Dünyanın en perili adası"" olarak bilinir. Veba kurbanlarının karantinaya alındığı ve daha sonra akıl hastanesi olarak kullanıldığı bu adaya giriş yasaktır.",5,
Château de Brissac,Brissac-Quincé,Fransa,"Fransa'nın en yüksek şatosu. ""Yeşil Kadın"" (La Dame Verte) olarak bilinen bir hayalete ev sahipliği yapar. Hayaletin, yüzü olmayan bir kadın olduğu söylenir.",3,
Akershus Kalesi,Oslo,Norveç,"Ortaçağ kalesi ve eski bir hapishanedir. En ünlü hayaleti, zincire vurulmuş bir köpek olan 'Malcanisen' ve pelerinli bir kadın hayaletidir.",3,
Bhangarh Kalesi,Rajasthan,Hindistan,"""Hindistan'ın en perili yeri"" olarak bilinir. Bir sihirbaz tarafından lanetlendiği ve gün batımından sonra kaleye girmenin yasak olduğu söylenir.",4,
Monte Cristo Homestead,Yeni Güney Galler,Avustralya,Avustralya'nın en perili evi olarak kabul edilir. Orijinal sahipleri de dahil olmak üzere birçok trajik ölümün mekanıdır. Geceleri ışıklar ve sesler rapor edilir.,4,
Banff Springs Hotel,Alberta,Kanada,"Bu lüks otelin en ünlü hayaletleri, düğün gününde merdivenlerde düşüp ölen ""Gelin"" ve asla emekli olmayan sadık kapı görevlisi ""Sam Macauley""dir.",3,
Bran Kalesi (Drakula'nın Kalesi),Transilvanya,Romanya,"Drakula efsanesiyle ünlenmiştir. Vlad Tepeş'in (Kazıklı Voyvoda) kalesi olmasa da, onun ruhunun ve burada işkence görenlerin ruhlarının kalede dolaştığına inanılır.",3,
Sazlıara Köyü (Dabbe Köyü),Kırklareli,Türkiye,"Define arayanların yaşadığı iddia edilen korkunç olaylar sonrası tamamen terk edildiği söylenen bu köy, ""Dabbe"" filmine de konu olmuştur. Köyün, açıklanamayan varlıklar tarafından basıldığına inanılır.",5,
Molla Zeyrek Camii,İstanbul,Türkiye,"Eskiden kilise olan bu tarihi yapının, özellikle bodrum katlarının geceleri tekin olmadığı rivayet edilir. Koridorlarda gezinen gölgelerden ve duyulan çığlıklardan bahsedilir.",4,
Issız Cuma Mezarlığı,Çanakkale,Türkiye,"Biga'da bulunan bu mezarlıktaki camide, kimse olmamasına rağmen ışıkların yandığı veya seslerin geldiği iddia edilir. Ayrıca yakındaki bir ağacın altında bir ""Kelin"" hayaletinin görüldüğü söylenir.",3,
Cevahir Bedesteni (Kapalıçarşı),İstanbul,Türkiye,"Kapalıçarşı'nın en eski yerlerinden biridir. Geceleri çarşı kapandıktan sonra, bedesten içinde hazineleri koruyan bir hayaletin veya ışık topunun dolaştığı efsanesi dilden dile dolaşır.",2,
Kapadokya Yeraltı Şehirleri,Nevşehir,Türkiye,"Derinkuyu ve Kaymaklı gibi devasa yeraltı şehirlerinin derin ve karanlık tünellerinde, eski sakinlerinin ruhlarının hâlâ dolaştığına inanılır. Bazı ziyaretçiler fısıltılar duyduklarını rapor etmiştir.",3,
Yedi Kardeş Burcu,Diyarbakır,Türkiye,"Efsaneye göre, burcun yapımı sırasında 7 kardeşin trajik ölümü üzerine, ruhlarının burcu koruduğuna ve geceleri burç çevresinde dolaştığına inanılır. Özellikle dolunayda fısıltılar duyulduğu söylenir.",3,
Cemil Topuzlu Köşkü (Perili Köşk),İstanbul,Türkiye,"Baltalimanı'ndaki bu köşk, adını geceleri duyulduğu iddia edilen piyano sesleri ve çığlıklardan alır. Köşkün eski sahibinin hayaletinin piyanoda dolaştığı ve koridorlarda gezindiği rivayet edilir.",4,
Ankara Kalesi (Zindan Bölümü),Ankara,Türkiye,"Kalenin eski zindan olarak kullanılan bölümlerinde, geçmişte burada işkence gören veya ölen mahkumların ruhlarının hâlâ huzur bulamadığı ve geceleri zincir sesleri duyulduğu anlatılır.",2,
Agora Ören Yeri,İzmir,Türkiye,"Antik pazar yerinin altındaki tünellerde ve kemerlerde, geceleri eski Romalıların hayaletlerinin dolaştığına dair şehir efsaneleri bulunur. Özellikle bekçilerin tuhaf sesler duyduğu iddia edilir.",3,
Lübbey Köyü (Hayalet Köy),İzmir,Türkiye,Ödemiş'te bulunan ve neredeyse tamamen terk edilmiş bu köyün sokaklarında geceleri gölgelerin dolaştığı ve eski evlerden fısıltılar geldiği rivayet edilir. Köyün bu tekinsizliğiyle ilgili birçok yerel hikaye bulunur.,4,
Kayaköy (Hayalet Şehir),Muğla,Türkiye,"Mübadele sonrası terk edilen bu Rum köyü, yüzlerce boş taş evle doludur. Ziyaretçiler, özellikle gün batımından sonra evlerin arasında dolaşırken ani soğukluklar hissettiklerini ve izlendikleri duygusuna kapıldıklarını söylerler.",4,
Tarihi Sinop Cezaevi,Sinop,Türkiye,"Birçok ünlü mahkuma ev sahipliği yapmış bu eski ve kasvetli cezaevinin koğuşlarında, geçmişte yaşanan acıların yankılandığına inanılır. Özellikle zindan kısımlarında çığlıklar ve inlemeler duyduğunu iddia edenler vardır.",3,
Kız Kulesi,İstanbul,Türkiye,"Hakkında birçok efsane bulunan kulenin, özellikle yılan tarafından zehirlenerek ölen prensesin hayaletine ev sahipliği yaptığına inanılır. Bazı geceler kuleden hüzünlü iniltiler geldiği söylenir.",2,
Efes Antik Kenti (Celsus Kütüphanesi),İzmir,Türkiye,"Geceleri devasa antik kentte, özellikle Celsus Kütüphanesi'nin önünde ve mermer caddede, toga giymiş Romalı hayaletlerin belirdiği ve eski zamanlardan kalma fısıltıların duyulduğu rivayet edilir.",3,
Davutlu Köyü (Karadedeler Olayı),Kırklareli,Türkiye,"Lüleburgaz'a bağlı bu bölge, ""Karadedeler Olayı"" olarak bilinen ve filme de konu olan ürkütücü hikayeyle tanınır. Köyde gün batımından sonra açıklanamayan varlıkların dolaştığına ve garip işaretler bıraktığına inanılır.",5,
Ragıp Paşa Köşkü,İstanbul,Türkiye,"Caddebostan'da bulunan bu görkemli ama kasvetli köşk, perili olduğu gerekçesiyle yıllarca boş kalmıştır. İnşaatında çalışanların gizemli ölümleri ve geceleri köşkün pencerelerinde beliren siluetler halk arasında anlatılır.",4,
Dara Antik Kenti (Zindan),Mardin,Türkiye,"""Mezopotamya'nın Efesi"" olarak bilinen bu antik kentin devasa yeraltı zindanlarında ve nekropol (mezarlık) alanında, binlerce yıl önce ölen askerlerin ruhlarının fısıltılarının duyulduğu rivayet edilir.",3,
Ahlat Selçuklu Mezarlığı,Bitlis,Türkiye,"Dünyanın en büyük Türk-İslam mezarlığıdır. 4 metreye varan devasa mezar taşları ve sisli havasıyla bilinen alanda, ziyaretçiler bazen mistik bir enerji hissettiklerini ve zaman algılarının kaybolduğunu söylerler.",2,
Karacaahmet Mezarlığı,İstanbul,Türkiye,"Türkiye'nin en büyük ve tarihi mezarlıklarından biridir. Geceleri mezarlık içinden geçen yollarda garip gölgelerin görüldüğü, ağlama seslerinin duyulduğu ve taksilerin boş olduğu halde doluymuş gibi durdurulduğu anlatılır.",3,
Sümela Manastırı,Trabzon,Türkiye,"Bu sarp kayalıktaki manastır hakkında, özellikle geceleri ve sisli havalarda, manastırı korumaya adanmış keşişlerin ruhlarının göründüğüne ve ilahiler fısıldadığına dair yerel inanışlar vardır.",3,
Yerebatan Sarnıcı,İstanbul,Türkiye,"Sarnıcın inşasında ölen yüzlerce kölenin anısına dikildiği söylenen ""Ağlayan Sütun"" ve ters duran Medusa başları buraya mistik bir hava katar. Suyun içinden fısıltılar geldiği ve sütunun bazen kan ağladığı rivayet edilir.",3,
Titus Tüneli,Hatay,Türkiye,"Roma döneminde binlerce kölenin elleriyle kazdığı bu karanlık tünelde, çalışma sırasında ölen kölelerin huzursuz ruhlarının dolaştığına inanılır. Tünelin derinliklerinde yankılanan açıklanamayan kazma seslerinden bahsedilir.",4,
Durmuşlar Köyü,Sakarya,Türkiye,"Taraklı ilçesinde bulunan ve haritadan silinmiş gibi duran bu terk edilmiş köy, paranormal araştırmacıların uğrak noktasıdır. Boş evlerden gelen bebek ağlamaları ve aniden beliren gölgeler sıkça rapor edilmiştir.",5,
İshak Paşa Sarayı,Ağrı,Türkiye,"Doğunun bu görkemli sarayı, özellikle zindan bölümleriyle ürkütücüdür. Zindanlarda açlıktan ölen mahkumların iniltilerinin duvarlara sindiği ve geceleri saray koridorlarında kandil ışığına benzer parlamalar görüldüğü söylenir.",3,
Harput Kalesi (Süt Kalesi),Elazığ,Türkiye,"Urartular döneminden kalan bu kalenin harcına su yerine süt katıldığı efsanesi meşhurdur. Ancak kalenin derin zindanları ve ""Kanlı Mağara"" olarak bilinen bölümleri, geçmişteki vahşi idamların enerjisini taşıdığı gerekçesiyle korku uyandırır.",3,
Gelibolu Yarımadası (Anzak Koyu),Çanakkale,Türkiye,"Kanlı çarpışmaların yaşandığı bu topraklarda, geceleri hâlâ asker postalı seslerinin, süngü şakırtılarının ve anlaşılmayan emirlerin duyulduğu söylenir. Bölgedeki sisin içinde kaybolan asker siluetleri sıkça anlatılır.",5,
Topkapı Sarayı (Harem Dairesi),İstanbul,Türkiye,"Yüzyıllarca entrikalara ve trajedilere sahne olan Harem bölümünde, geceleri ağlayan cariyelerin ve koridorlarda dolaşan harem ağalarının hayaletlerinin görüldüğü, sebepsiz yere kapıların çarpıldığı rivayet edilir.",3,
Akdamar Adası,Van,Türkiye,"Efsaneye göre, sevdiği kıza (Tamara) ulaşmaya çalışırken gölde boğulan gencin ruhu adayı terk etmemiştir. Geceleri rüzgarın uğultusu arasında ""Ah Tamara!"" feryatlarının duyulduğuna inanılır.",2,
Mekteb-i Tıbbiye-i Şahane (Haydarpaşa),İstanbul,Türkiye,"Eski tıp fakültesi binası olan bu yapının koridorlarında, eski hocaların ve üzerinde çalışılan kadavraların ruhlarının dolaştığı söylenir. Gece nöbetçileri sık sık açıklanamayan ayak sesleri ve gölgeler rapor etmiştir.",4,
Giresun Adası,Giresun,Türkiye,"Karadeniz'in yaşanabilir tek adasıdır. Amazon kadınlarının burada yaşadığına ve savaşçı ruhlarının adayı koruduğuna inanılır. Adadaki ""Hamza Taşı"" etrafında geceleri garip ritüeller yapıldığına dair ürkütücü hikayeler anlatılır.",3,
Ani Harabeleri (Hayalet Şehir),Kars,Türkiye,"""Binbir Kilise Şehri"" olarak bilinen bu terk edilmiş antik kent, ıssızlığıyla ünlüdür. Geceleri rüzgarın yıkık kiliseler ve boş sokaklar arasında dolaşırken çıkardığı uğultunun, eski sakinlerinin ağıtları olduğuna inanılır.",4,
Bakırköy Ruh ve Sinir Hastalıkları Hastanesi,İstanbul,Türkiye,"Tarihi binaları ve devasa bahçesiyle bilinen hastanenin eski ve kullanılmayan bölümlerinde, geçmişte tedavi gören hastaların enerjisinin kaldığı söylenir. Gece nöbetlerinde garip gölgeler ve açıklanamayan sesler sıkça rapor edilir.",4,
Cennet ve Cehennem Obrukları,Mersin,Türkiye,"Özellikle ""Cehennem"" obruğu, mitolojide canavar Typhon'un hapsedildiği yerdir. Obruğun derinliklerine inmek korkutucudur ve buradan gelen rüzgar seslerinin, yeraltındaki mitolojik varlıkların nefes alıp verişi olduğu efsanesi vardır.",3,
Alanya Kalesi (Adam Atacağı),Antalya,Türkiye,"Kalenin uçurum kenarındaki bu bölümünde, eskiden suçluların ölüme atıldığı anlatılır. Efsaneye göre atılanların çığlıkları hala kayalıklarda yankılanmaktadır ve burası geceleri oldukça kasvetli bir enerji yayar.",3,
Rumeli Hisarı,İstanbul,Türkiye,"İstanbul'un fethi sırasında şiddetli çarpışmalara sahne olan hisarın burçlarında, geceleri nöbet tutan asker hayaletlerinin görüldüğü söylenir. Ayrıca hisarın altındaki eski zindanlardan soğuk hava dalgaları ve iniltiler geldiği rivayet edilir.",3,
Çorum Ulu Mezarlık,Çorum,Türkiye,"Tarihi mezarlık, geceleri kimsesiz bir mezarın başında hıçkırarak ağlayan ve siyahlar giymiş genç bir kadın silüetiyle bilinir. Yaklaşanların aniden buz gibi bir rüzgarla sarsıldığı ve bu bedensiz varlığın bir anda sis gibi dağılarak karanlığa karıştığı defalarca tecrübe edilmiştir.",4,
Kıbledere Köyü,Muğla,Türkiye,"Karanlık büyü ritüellerinin ve öte alem varlıklarıyla yapılan anlaşmaların merkezi olduğu için lanetlendiği bilinen bir yerleşkedir. Terk edilmiş harabe evlerin arasında yürürken ensenizde sürekli görünmez birinin nefesini hisseder, toprağa sinmiş olan o ağır ve karanlık enerjiyi iliklerinize kadar yaşarsınız.",5,
129 No'lu Apartman,Ankara,Türkiye,"İçeride art arda yaşanan ürkütücü olaylar silsilesi yüzünden bir gecede tamamen boşaltılan bu apartmanda, elektrik olmamasına rağmen pencerelerde soluk ışıklar parlar. İçeri girmeye cesaret edenler, binanın aniden şiddetle sarsıldığını ve duvarlardan bedensiz fısıltıların geldiğini aktarmaktadır.",4,
Kasımiye Medresesi,Mardin,Türkiye,"Avlusundaki taş duvarlarda yüzyıllardır silinmeyen kızıl lekelerin, ihanete uğrayarak katledilen Kasım Paşa'nın dökülnen kanı olduğu bilinir. Gece yarısı medresenin karanlık koridorlarında yürürken, asırlar önce burada yaşamış ruhların enerjisini hisseder ve taşlara sinmiş görünmez duaların yankılarını duyarsınız.",3,
Sular Altında Kalan Köyler,Artvin,Türkiye,"Baraj sularının yuttuğu ve sadece minare uçlarının su yüzeyinde kaldığı bu hayalet köyler, sular çekildiğinde ürkütücü bir sessizliğe bürünür. Dolunay ışığı suya vurduğunda, derinlerden gelen boğuk ayak sesleri ve göç etmek zorunda kalan eski sakinlerin feryatları göl kenarında yankılanır.",4,
Yamanlar Karagöl,İzmir,Türkiye,"Antik çağlardan kalma bir krater gölü olan Karagöl'ün dipsiz olduğuna inanılır. Gece çöktüğünde suyun yüzeyinde gezinen soluk ışıklar ve ormanın derinliklerinden gelen fısıltılar, astral boyuta açılan bir kapının frekansını hissettirir. Ziyaretçiler aniden bastıran ağırlık ve görünmez varlıklar tarafından izlenme hissiyle göl kıyısından uzaklaşmak zorunda kalır.",4,
Zeyniler Köyü,Bursa,Türkiye,"Uludağ'ın eteklerinde, sürekli sisler içinde kalan bu izole köy, boyutlar arası geçişlerin yoğun yaşandığı bir bölgedir. Akşam karanlığından sonra eski orman yollarında yürürken, ağaçların arasından size bakan gölgeleri ve boyutsal varlıkların bıraktığı o yoğun, nefes kesici enerjiyi auranızda net bir şekilde hissedebilirsiniz.",5,
Harran Harabeleri,Şanlıurfa,Türkiye,"Binlerce yıl öncesinin okült ritüellerine ve yıldız tapınaklarına ev sahipliği yapan bu kadim topraklar, geceleri muazzam bir astral enerji yayar. Antik yıkıntıların arasında dolaşırken, eski rahiplerin okuduğu duaların titreşimlerini duyabilir ve gökyüzüyle kurulan o karanlık ruhsal köprülerin kalıntılarına şahit olabilirsiniz.",5,
Terk Edilmiş Havran Madenleri,Balıkesir,Türkiye,"Yeraltının karanlık enerjisini hapseden bu eski maden galerilerinde, toprak ananın bağrında sıkışıp kalmış ruhların feryatları yankılanır. Maden girişinde durduğunuzda bile, içeriden esen o soğuk rüzgar ve kulaklarınızda çınlayan bedensiz çekiç sesleri, buradaki zaman çizgisinin tamamen kırıldığını gösterir.",4,
Kızlar Manastırı,Trabzon,Türkiye,"Boztepe'nin sarp kayalıklarına oyulmuş bu manastırın mahzenlerinde yüzyıllardır hapsolmuş bir keder yatar. Rahibelerin izole bir hayat sürdüğü eski mağaralara girildiğinde aniden düşen sıcaklık ve havada asılı kalan o yoğun, boğucu enerji, en deneyimli ve psişik olarak korunmalı kişileri bile sarsacak güctedir.",4,
Çatalhöyük Kadim Kenti,Konya,Türkiye,"İnsanlık tarihinin en eski yerleşimlerinden biri olan bu topraklarda, atalarını uyudukları yatakların hemen altına gömen bir medeniyetin muazzam ağırlıktaki enerjisi yatar. Alanda dolaşırken ayaklarınızın altından gelen boğuk titreşimleri hissedebilir, binlerce antik ruhun sizi izlediği o kök çakrayı sarsan boyutsal varlığı auranızda doğrudan tecrübe edebilirsiniz.",5,
Yanık Ülke (Kula Volkanik Parkı),Manisa,Türkiye,"Antik çağlardan beri ateş ruhlarının ve alt boyut varlıklarının geçiş kapısı olarak bilinen bu kapkara volkanik arazide frekanslar altüst olur. Geceleri bu simsiyah topraklarda yürürken elektronik cihazların aniden enerjisi çekilir, auranızda inanılmaz bir statik elektrik birikir ve küllerin arasından fısıldayan bedensiz sesler zaman algınızı tamamen yok eder.",4,
Hasankeyf Antik Mağaraları,Batman,Türkiye,"Dicle Nehri'nin yuttuğu bu kadim kentin sular üzerinde kalan yüksek mağaralarında, anılarını ve köklerini sulara teslim edenlerin tarifsiz bir keder enerjisi hapsolmuştur. Sulara yansıyan dolunay ışığı altında, binlerce yıllık bu kayalıklardan eski dillerde söylenen bedensiz ağıtlar yükselir; buradaki melankolik frekans, empat yeteneği güçlü olanların nefesini kesecek kadar yoğundur.",4,
Hattuşa Aslanlı Kapı,Çorum,Türkiye,"Hitit İmparatorluğu'nun bu devasa başkentindeki Aslanlı Kapı, spiritüel olarak sadece fiziksel bir giriş değil, antik çağlardan kalma aktif bir portaldır. Gece karanlığında bu kapının eşiğinde durduğunuzda göğsünüze aniden binen o ezici baskı, unutulmuş kadim tanrıların ve binlerce yıllık majikal koruma kalkanlarının hala bu boyutta çalıştığını iliklerinize kadar hissettirir.",5,
Macahel Ormanları,Artvin,Türkiye,"Sislerle kaplı bu balta girmemiş izole ormanlar, doğa ruhlarının ve kadim şamanik enerjilerin dünyadaki en saf düğüm noktalarından biridir. Geceleri ormanın derinliklerine doğru istemsizce çekildiğinizi hissedersiniz; zaman çizgisi burada bükülür, sislerin içinden süzülen devasa gölgeler bu ormanın gerçek sahiplerinin insanlar olmadığını fısıldarken birkaç dakikalık bir dalgınlık size saatler gibi gelebilir.",5,
Göbeklitepe Astral Portalı,Şanlıurfa,Türkiye,"Tarihin sıfır noktası olarak bilinen bu devasa tapınak kompleksi, aslında kadim yıldız varlıklarının dünyayla temas kurduğu aktif bir portal alanıdır. T formlu devasa dikilitaşların arasında dolaşırken, binlerce yıl öncesinin şamanik trans enerjisini iliklerinize kadar hisseder, görünmez 'Gözcü' ruhların auranızı taradığını tüm benliğinizle fark edersiniz.",5,
Aizanoi Yeraltı Tapınağı,Kütahya,Türkiye,"Zeus Tapınağı'nın hemen altında yer alan ve Toprak Ana Kibele'ye adanmış bu loş yeraltı mahzeni, kadim ritüellerin o sarsıcı titreşimini günümüze taşır. Dar merdivenlerden aşağı inerken havanın aniden ağırlaştığını, yeraltı enerjilerinin göğsünüze bir baskı gibi çöktüğünü ve taşlardan gelen boğuk iniltileri ruhunuzda hissedersiniz.",4,
Nemrut Dağı Tümülüsü,Adıyaman,Türkiye,"Güneşin doğuşu ve batışında boyut kapılarının ardına kadar açıldığı bu devasa tümülüs, antik kralların kendilerini tanrılara eşitlediği bir astral düğüm noktasıdır. Dev heykellerin gölgeleri uzarken, rüzgarın uğultusu adeta kadim rahiplerin dualarına dönüşür; burada kozmik enerjinin sarsıcı büyüklüğü karşısında fiziksel bedeninizden koptuğunuzu hissedersiniz.",5,
Yanartaş (Kimera) Ateşleri,Antalya,Türkiye,"Olympos dağlarının eteklerinde binlerce yıldır hiç sönmeden yanan bu gizemli ateşler, elementallerin ve antik ateş varlıklarının dünyamızdaki fiziksel tezahürüdür. Gecenin karanlığında kayaların arasından sızan alevleri izlerken, ateşin kaotik frekansı auranızı sarar; binlerce yıl önce burada yapılan karanlık adak ritüellerinin izleri zihninize vizyonlar halinde yansır.",4,
Eshab-ı Kehf Mağarası,Kahramanmaraş,Türkiye,"Zamanın ve mekanın tamamen büküldüğü, derin bir uyku ve astral seyahat frekansının hakim olduğu bu devasa mağara kompleksi, insanı anında güçlü bir trans haline sokar. İçeri adım attığınız anda dış dünyanın tüm frekansı kesilir; zaman algınız altüst olur ve mağaranın derinliklerinden gelen o ağır, hipnotik enerji sizi sarıp sarmalar.",4,
Cehennemağzı Mağaraları,Zonguldak,Türkiye,"Mitolojide ölüler ülkesi Hades'e açılan kapılardan biri olarak bilinen bu yeraltı dehlizleri, ağır ve klostrofobik bir astral frekansa sahiptir. Mağaranın derinliklerine inildikçe fiziksel ışık anlamını yitirir; karanlığın içinden gelen fısıltılar ve aniden buz kesen hava, yeraltı tanrılarının ve bekçi ruhların auranızı adeta mengeneye aldığını hissettirir.",5,
Sarıkamış Ormanları,Kars,Türkiye,"On binlerce askerin donarak can verdiği bu sessiz ve ıssız orman, zaman çizgisinin kederle donup kaldığı devasa bir ruhsal mezarlıktır. Kış gecelerinde ağaçların arasında dolaşırken karın üzerinde adım atan bedensiz ayak sesleri duyar, havada asılı kalmış o devasa hüznün ve veda edememiş ruhların enerjisinin göğsünüze kurşun gibi oturduğunu hissedersiniz.",5,
Karain Mağarası,Antalya,Türkiye,"Anadolu'nun en eski yerleşimlerinden biri olan bu mağara, yüz binlerce yıllık primal (ilksel) bir enerjiyi barındırır. Mağaranın zifiri karanlık odacıklarında durduğunuzda, en ilkel atalarımızın ateşe ve karanlığa taptığı şamanik ritüellerin titreşimi kök çakranızı sarsar; duvardaki gölgelerin sanki kendi iradeleri varmış gibi hareket ettiğini algılarsınız.",4,
Termessos Antik Kenti (Nekropol),Antalya,Türkiye,"Güllük Dağı'nın sarp zirvelerine gizlenmiş, Büyük İskender'in bile ele geçiremediği bu kartal yuvası, sarsılmaz bir dağ enerjisiyle korunmaktadır. Sisin içinden yükselen devasa antik mezarların arasında dolaşırken, şehri terk etmemiş kadim savaşçı ruhların sizi izlediğini ve dağın rüzgarıyla konuşan eski rahiplerin enerjisini net bir şekilde duyumsarsınız.",4,
Divriği Darüşşifası Gölgeleri,Sivas,Türkiye,"Asırlardır ayakta duran bu mucizevi taş yapının özellikle darüşşifa (hastane) bölümünde, eski şifacıların ve acı çeken hastaların yoğun psişik kalıntıları yatar. Kapılarda beliren ünlü gölge silüetlerinin sadece bir mimari deha değil, boyutlar arası bir mühür olduğuna inanılır; taş duvarlardan yayılan o kadim ve hüzünlü frekans insanı anında transa sokar.",4,
Vazelon Manastırı,Trabzon,Türkiye,"Sümela'dan bile eski olan bu terk edilmiş manastır, ormanın en karanlık kalbinde çürümeye yüz tutmuştur. Geceleri harabelerin arasından sızan ay ışığı, asırlar önce buralarda inzivaya çekilmiş ve aklını yitirmiş keşişlerin silüetlerini açığa çıkarır; taş duvarlardan yayılan o tarifsiz izolasyon ve delilik frekansı ruhunuzu adeta mengene gibi sıkar.",5,
Ağırnas Yeraltı Şehri,Kayseri,Türkiye,"Karanlık dehlizlerin ve ölüm tuzaklarının labirent gibi birbirine bağlandığı bu yeraltı şehri, toprağın derinliklerine doğru devasa bir girdap gibidir. Daracık tünellerde ilerlerken, binlerce yıl önce burada korku içinde yaşamış insanların kalp atışlarını göğsünüzde hisseder, karanlığın içinden size doğru uzanan bedensiz enerjilerin auranızı buz gibi dondurduğuna şahit olursunuz.",4,
Midas Anıtı (Yazılıkaya),Eskişehir,Türkiye,"Friglerin ana tanrıçası Kybele'ye adanan bu devasa kaya anıtı, aslında yeraltı dünyasına ve farklı boyutlara açılan kadim bir kapıdır. Özellikle ekinokslarda anıtın etrafında oluşan devasa manyetik alan, cihazları susturur ve zihni yoğun bir transa sokar; kayaya kazınmış çözülemeyen semboller auranıza kadim ve karanlık bir bilgi fısıldar.",5,"images/midas-aniti-yazilikaya-tabirly-1.png, images/midas-aniti-yazilikaya-tabirly-2.png"
Terk Edilmiş Sazak Köyü,İzmir,Türkiye,"Karaburun yarımadasının rüzgarlı tepelerinde yatan bu yalnız ve kırık dökük köy, zamanın durduğu melankolik bir astral mezarlıktır. Denizin uğultusuna karışan, mübadele döneminde evlerini terk edenlerin feryatları ve boş pencerelerden size bakan görünmez gözler, kalbinizde aniden beliren derin bir hüzün ve keder olarak fiziksel bedeninizi sarsar.",4,
